"Василий Пупкин",21.10.1984,UA,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01 
"Василий Пупкин",21.10.1980,UA,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01 
"Василий Пупкин",21.10.1984,RU,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01 
"Василий Пкин",21.10.1984,UA,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01 
"Василий Пкин",21.10.1980,RU,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01 
"Василий Пкин",21.10.1980,RU,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,8:51.01 
"Василий Пупкин",21.10.1984,RU,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01 
"Siim Susi",01.01.1976,EE,12.61,5.00,9.22,1.50,59.39,16.43,21.60,2.60,35.81,5:25.72 
"Szőrös Szűk",3.04.1972,HU,13.75,4.84,10.12,1.50,1:08.44,19.18,30.85,2.80,33.88,6:22.75 
"Kim Musi",01.01.1976,EE,12.61,5.00,9.22,1.50,59.39,16.43,21.60,2.60,35.81,5:25.72 
